old_key,new_key,year,first_author,title,doi
Pavlovic2026.06.26.734832,Pavlovic2026FiberTEnCATS,2026,Katarina Pavlovic,Fiber-TEnCATS reveals haplotype-specific chromatin accessibility and DNA methylation at human L1HS loci,10.64898/2026.06.26.734832
10.1093/bioinformatics/btag383,Kenney2026SEMPLR,2026,Grace E Kenney,SEMPLR: an R package for transcription factor binding prediction,10.1093/bioinformatics/btag383
Rabbani2026.03.10.710708,Rabbani2026SpermatidChromatin,2026,Mashiat Rabbani,3D chromatin compartment of round spermatids encodes the spatiotemporal program of histone-to-protamine exchange in spermiogenesis,10.64898/2026.03.10.710708
Li2026.03.04.709638,Li2026TFBSpedia,2026,Shiting Li,TFBSpedia: a comprehensive human and mouse transcription factor binding sites database,10.64898/2026.03.04.709638
McBean2026,McBean2026RadiosensitizationARPositiveTNBC,2026,Breanna McBean,Transcriptomic analysis to uncover the mechanism of radiosensitization of AR-positive triple-negative breast cancers with AR inhibition,10.1038/s41523-026-00916-1
10.1093/nar/gkaf1341,Li2025IGVFCatalog,2025,Daofeng Li,The IGVF catalog—from genetic variation to function,10.1093/nar/gkaf1341
SMaHT2025,SMaHTNetwork2025SomaticMutationBenchmarking,2025,The Somatic Mosaicism across Human Tissues Network (SMaHT),Comprehensive benchmarking of somatic mutation detection by the SMaHT Network,10.1101/2025.10.09.678885
Wang2025.10.07.680917,Wang2025SomaticRetrotransposition,2025,Seunghyun Wang,Multi-platform framework for mapping somatic retrotransposition in‬ human tissues,10.1101/2025.10.07.680917
Diehl2025.05.22.655567,Diehl2026GPatch,2026,Adam G Diehl,"GPatch enables chromosome-scale, gap-free pseudoassemblies from fragmented draft genomes",10.1101/2025.05.22.655567
Denstaedt2025.05.16.654442,Denstaedt2025MonocyteReprogramming,2025,Scott J. Denstaedt,Long-term immune reprogramming of classical monocytes with altered ontogeny mediates enhanced lung injury in sepsis survivors,10.1101/2025.05.16.654442
miller2025,Miller2025C9orf72RANTranslation,2025,Shannon L. Miller,Cryptic intronic transcriptional initiation generates efficient endogenous mRNA templates for C9orf72-associated RAN translation,10.1073/pnas.2507334122
parana2025,Parana2025ScytonemaGenome,2025,Preston Parana,Draft de novo genome construction of Scytonema sp. PRP1: identified from single-cell sequencing library preparation,10.1128/mra.00029-25
consortium2024SMAHT,Coorens2025SMaHTNetwork,2025,Tim H. H. Coorens,The Somatic Mosaicism across Human Tissues Network,10.1038/s41586-025-09096-7
ijms26052245,McBean2025MELKStemnessMetastasis,2025,Breanna McBean,MELK as a Mediator of Stemness and Metastasis in Aggressive Subtypes of Breast Cancer,10.3390/ijms26052245
Lee2025,Lee2025PsychiatricMPRA,2025,Sool Lee,Massively parallel reporter assay investigates shared genetic variants of eight psychiatric disorders,10.1016/j.cell.2024.12.022
VanDeynze2024,VanDeynze2025HMMSTR,2025,Kinsey Van Deynze,Enhanced detection and genotyping of disease-associated tandem repeats using HMMSTR and targeted long-read sequencing,10.1093/nar/gkae1202
Zhou2024.12.18.629274,Zhou2024PersonalizedSomaticMosaicism,2024,Weichen Zhou,A personalized multi-platform assessment of somatic mosaicism in the human frontal cortex,10.1101/2024.12.18.629274
maltby2024,Maltby2024CANVASNeurons,2024,Connor J. Maltby,AAGGG repeat expansions trigger RFC1-independent synaptic dysregulation in human CANVAS neurons,10.1126/sciadv.adn2321
consortium2023impact,IGVFConsortium2024GenomicVariationFunction,2024,IGVF Consortium,Deciphering the impact of genomic variation on function,10.1038/s41586-024-07510-0
Yee2023,Yee2024ActivityRegulatedSynaptogenesis,2024,C Yee,An activity-regulated transcriptional program directly drives synaptogenesis,10.1038/s41593-024-01728-x
Crone2024,Crone2024TransAncestralPRS,2024,Bradley Crone,Enhancing Portability of Trans-Ancestral Polygenic Risk Scores through Tissue-Specific Functional Genomic Data Integration,10.1371/journal.pgen.1011356
cagi2024,CAGIConsortium2024VariantInterpretation,2024,The Critical Assessment of Genome Interpretation Consortium,"CAGI, the Critical Assessment of Genome Interpretation, establishes progress and prospects for computational genetic variant interpretation methods.",10.1186/s13059-023-03113-6
Zhao2023.09.07.556700,Zhao2023OrganSpecificRegulatoryVariants,2023,Nanxiang Zhao,Organ-specific prioritization and annotation of non-coding regulatory variants in the human genome,10.1101/2023.09.07.556700
Zhao2023,Zhao2023ExplainSeq,2023,Nanxiang Zhao,Explain-seq: an end-to-end pipeline from training to interpretation of sequence-based deep learning models,10.1101/2023.01.23.525250
Holmes2023.01.18.524565,Holmes2024HaplotagLR,2024,Monica J. Holmes,HaplotagLR: an efficient and configurable utility for haplotagging long reads,10.1371/journal.pone.0298688
